pzztime,estimate,pizza,cheese,price,payment,strit,house,phone
2021-12-11T20:20:20,30,pepperoni,50,15,cash,К. Маркса,38,+375172223998
2021-12-11T20:20:20,30,capricciosa,40,20,cash,К. Маркса,38,+375172223998
2021-12-11T21:21:21,30,pepperoni,50,15,cash,Ленина,14,+375173654402
2021-12-11T20:20:20,30,margherita,50,15,cash,Кирова,33,+375173788591
2021-12-11T22:22:22,30,pepperoni,60,17,cash,Независимости,10,+375173677724
2021-12-11T22:22:22,30,margherita,40,15,cash,Независимости,10,+375173677724
2021-12-11T22:22:22,30,pepperoni,30,15,cash,Независимости,10,+375173677724
2021-12-11T23:23:23,30,pepperoni,50,15,cash,Коммунистическая,3,+375172423608
2021-12-11T24:24:24,30,pepperoni,50,15,cash,Романовская Слобода,24,+375173752742
2021-12-11T25:25:25,30,calzone,20,10,cash,Советская,11,+375172226470
2021-12-11T26:26:26,30,pepperoni,50,15,cash,Азгура,4,+375172971699
